ya	('yall', 0.8400037884712219)	('yas', 0.7553885579109192)	('youuu', 0.7430102825164795)	('yah', 0.7091661691665649)	('fli', 0.6932268142700195)	('wsup', 0.6923398971557617)	('meee', 0.6801363825798035)	('hun', 0.6783882975578308)	('darlin', 0.6748371124267578)	('muah', 0.6726300716400146)
America	('democracy', 0.7880372405052185)	('nation', 0.7681755423545837)	('imperialism', 0.7153278589248657)	('democracies', 0.7143368124961853)	('dictatorships', 0.7064359784126282)	('fascism', 0.7042971253395081)	('hegemony', 0.7035247087478638)	('socialism', 0.7029933929443359)	('capitalism', 0.7029221653938293)	('britain', 0.6987550258636475)
sleep	('bed', 0.7508994340896606)	('slp', 0.6369770765304565)	('sleeping', 0.630759596824646)	('nap', 0.5985333919525146)	('work', 0.5892543792724609)	('slept', 0.587445855140686)	('awake', 0.578734278678894)	('sleepy', 0.5621696710586548)	('relax', 0.5574197769165039)	('shower', 0.5468175411224365)
city	('suburbs', 0.7900655269622803)	('suburb', 0.7584728002548218)	('metropolis', 0.7340025901794434)	('countryside', 0.7312475442886353)	('seoul', 0.7137409448623657)	('town', 0.7125351428985596)	('belfast', 0.710136890411377)	('borough', 0.7013096809387207)	('northeast', 0.7009575366973877)	('northwest', 0.7009046077728271)
shirt	('sweatshirt', 0.8854672908782959)	('jacket', 0.8801125288009644)	('hoodie', 0.8429182767868042)	('tshirt', 0.8415251970291138)	('skirt', 0.8251930475234985)	('sweater', 0.8164048194885254)	('vest', 0.8094363808631897)	('bandana', 0.8033322095870972)	('hoody', 0.8024942874908447)	('hat', 0.8002974987030029)
pain	('numbness', 0.774170994758606)	('agony', 0.7397396564483643)	('pains', 0.7352882623672485)	('anguish', 0.7303495407104492)	('discomfort', 0.7178529500961304)	('sorrow', 0.7063141465187073)	('heartache', 0.692474365234375)	('sadness', 0.6840620040893555)	('tiredness', 0.674746036529541)	('bitterness', 0.671553373336792)
friend	('freind', 0.8640835881233215)	('housemate', 0.8131049871444702)	('roommate', 0.7910279631614685)	('roomate', 0.7784373760223389)	('buddy', 0.7703016996383667)	('girlfriend', 0.7641381025314331)	('pal', 0.7605596780776978)	('bestfriend', 0.7511547803878784)	('cousin', 0.7506335973739624)	('classmate', 0.7466556429862976)
car	('truck', 0.8716970682144165)	('jeep', 0.8471604585647583)	('minivan', 0.8023256063461304)	('driveway', 0.7755995988845825)	('lawnmower', 0.7252398729324341)	('tractor', 0.7240462899208069)	('mustang', 0.7226157188415527)	('bike', 0.72166907787323)	('vehicle', 0.7215648889541626)	('lorry', 0.7072139978408813)
oh	('ohh', 0.8586190938949585)	('ah', 0.7989121675491333)	('ohhh', 0.7964111566543579)	('aw', 0.7614414691925049)	('ahh', 0.7499150633811951)	('ohhhh', 0.7266412377357483)	('nevermind', 0.7040573358535767)	('ahhh', 0.6993471384048462)	('ooooh', 0.6860323548316956)	('darnit', 0.6775966882705688)
dog	('cat', 0.8831807374954224)	('puppy', 0.7976789474487305)	('kitten', 0.7413093447685242)	('hamster', 0.7257746458053589)	('mutt', 0.7111571431159973)	('dogs', 0.710527777671814)	('pug', 0.7087559103965759)	('doberman', 0.7073002457618713)	('rabbit', 0.6943100690841675)	('kitty', 0.6901599168777466)
Jesus	('christ', 0.8761128187179565)	('messiah', 0.7810407876968384)	('prophet', 0.7400696277618408)	('savior', 0.7390815615653992)	('apostles', 0.7156450748443604)	('crucifixion', 0.7123779058456421)	('galatians', 0.708965539932251)	('god', 0.7086998820304871)	('corinthians', 0.7072646617889404)	('resurrection', 0.706475019454956)
war	('terrorism', 0.7401567101478577)	('invasion', 0.7131743431091309)	('insurgency', 0.699435830116272)	('iraq', 0.6987379789352417)	('waging', 0.6923739314079285)	('soviets', 0.689106822013855)	('vietnam', 0.6843613982200623)	('communism', 0.6836737394332886)	('wwii', 0.6784639358520508)	('wwi', 0.6774355173110962)
ate	('cooked', 0.7111510634422302)	('drank', 0.6982512474060059)	('yum', 0.6496044993400574)	('eatin', 0.6459842920303345)	('gyro', 0.6405891180038452)	('barbecued', 0.6395991444587708)	('panera', 0.6390949487686157)	('chilled', 0.6299566030502319)	('pizza', 0.6270390152931213)	('hotdogs', 0.6264186501502991)
haha	('hahaha', 0.9580984115600586)	('hehe', 0.9362388849258423)	('hahah', 0.9355858564376831)	('hahha', 0.896511435508728)	('ahaha', 0.8915610313415527)	('lol', 0.8842917680740356)	('lolz', 0.8799576759338379)	('hahahah', 0.878953218460083)	('hahahaha', 0.8708915114402771)	('hahaa', 0.8566390872001648)
urlLink	('gawker', 0.6682900190353394)	('http', 0.6407849788665771)	('gothamist', 0.6324015855789185)	('wonkette', 0.6268033981323242)	('mcsweeney', 0.6249380707740784)	('sinful_misery', 0.6228073239326477)	('ign', 0.6176126003265381)	('instapundit', 0.6101032495498657)	('wsj', 0.6073487401008606)	('oxblog', 0.6062330603599548)
games	('tournaments', 0.7706473469734192)	('game', 0.7638307809829712)	('blackjack', 0.7391369938850403)	('pictionary', 0.7373746633529663)	('videogames', 0.7210221290588379)	('poker', 0.7206882238388062)	('scrabble', 0.7184365391731262)	('counterstrike', 0.7034354209899902)	('tourneys', 0.7000876069068909)	('starcraft', 0.6995826363563538)
Not	('isn', 0.5927709341049194)	('nt', 0.5578030347824097)	('isnt', 0.5409145355224609)	('don', 0.516369104385376)	('dont', 0.4900036156177521)	('wasn', 0.48690956830978394)	('nothing', 0.4803290069103241)	('never', 0.4758182466030121)	('doesn', 0.44938331842422485)	('though', 0.44447407126426697)
future	('futures', 0.5542082786560059)	('advancement', 0.5452005863189697)	('uncertainties', 0.5237266421318054)	('forseeable', 0.5180233716964722)	('meantime', 0.5117269158363342)	('ramifications', 0.510640025138855)	('world', 0.508922815322876)	('aspirations', 0.5053678750991821)	('foreseeable', 0.5016032457351685)	('failures', 0.5010117292404175)
computer	('pc', 0.8637030124664307)	('laptop', 0.8194186091423035)	('puter', 0.8115360736846924)	('comp', 0.7972053289413452)	('keyboard', 0.7028360366821289)	('desktop', 0.6958890557289124)	('computers', 0.6932596564292908)	('monitor', 0.6921159029006958)	('scanner', 0.6665694713592529)	('internet', 0.6624888181686401)
pay	('paid', 0.7240685224533081)	('payed', 0.7102770805358887)	('paying', 0.6897178888320923)	('reimburse', 0.6817800402641296)	('cost', 0.6294504404067993)	('pays', 0.6285588145256042)	('earn', 0.6148339509963989)	('refunded', 0.613686203956604)	('sell', 0.6121821403503418)	('refund', 0.6091863512992859)
site	('website', 0.9467111229896545)	('webpage', 0.8674659729003906)	('weblog', 0.8254306316375732)	('homepage', 0.8050479292869568)	('page', 0.7846546173095703)	('blog', 0.7791824340820312)	('link', 0.7672771215438843)	('blogger', 0.7602394819259644)	('forums', 0.7414116859436035)	('blogroll', 0.7317385673522949)
film	('documentary', 0.8554810285568237)	('movie', 0.8219155073165894)	('films', 0.7710673809051514)	('thriller', 0.7424511909484863)	('adaptation', 0.7348480224609375)	('storyline', 0.7146828174591064)	('flic', 0.71266770362854)	('sequel', 0.7055535912513733)	('ladykillers', 0.7015535831451416)	('cinematography', 0.6988057494163513)
information	('info', 0.7937532067298889)	('data', 0.7698730230331421)	('documentation', 0.7494364380836487)	('documents', 0.6777580976486206)	('informations', 0.6601452827453613)	('resources', 0.647415041923523)	('resource', 0.6462156772613525)	('databases', 0.6443500518798828)	('verification', 0.6392703652381897)	('metadata', 0.6329773664474487)
evil	('doers', 0.6911087036132812)	('unmitigated', 0.6842368841171265)	('satan', 0.6358407735824585)	('deceitful', 0.6263605952262878)	('spawn', 0.626239538192749)	('unholy', 0.6047893762588501)	('demon', 0.5919543504714966)	('demonic', 0.5908994078636169)	('triumph', 0.5842099189758301)	('undead', 0.5832619071006775)
article	('editorial', 0.767985463142395)	('column', 0.7662922143936157)	('excerpt', 0.7223817706108093)	('blurb', 0.7018417119979858)	('headline', 0.6955882906913757)	('artical', 0.6755232214927673)	('newsweek', 0.6686265468597412)	('wsj', 0.6637650728225708)	('slashdot', 0.6615743041038513)	('artice', 0.6573716402053833)
